,Términos,enfado.3,miedo.3,alegría.3,tristeza.3
0,abandono,"3,30","3,33","1,03","4,43"
1,aborto,"1,87","2,90","1,67","3,50"
2,abrasador,"1,77","2,17","1,37","1,53"
3,abrumado,"2,27","2,50","1,50","2,67"
4,abundancia,"1,20","1,73","3,67","1,37"
5,abuso,"4,37","4,07","1,17","4,20"
6,accidente,"3,13","3,83","1,03","4,17"
7,acelerador,"1,37","1,90","1,90","1,23"
8,acoso,"3,90","3,93","1,13","3,70"
9,acogedor,"1,10","1,13","4,07","1,20"
10,acogedora,"1,13","1,23","4,33","1,26"
11,admiración,"1,30","1,43","3,67","1,37"
12,veneración,"1,78","1,65","1,52","1,70"
13,adoración,"1,60","1,60","2,97","1,50"
14,adulterio,"3,47","2,60","1,23","3,40"
15,acusar,"3,52","3,13","1,19","3,13"
16,afortunadísimo,"1,33","1,07","4,10","1,13"
17,afecto,"1,20","1,43","4,37","1,50"
18,agonía,"2,20","3,07","1,07","3,60"
19,agradecido,"1,03","1,07","4,30","1,10"
20,agradar,"1,07","1,30","4,43","1,13"
21,agresión,"4,31","3,93","1,10","3,48"
22,agresivo,"3,90","3,40","1,23","2,87"
23,agudo,"1,57","1,73","1,53","1,40"
24,ahogar,"3,20","4,37","1,00","3,60"
25,aislamiento,"2,37","4,00","1,10","3,77"
26,aguja,"1,50","2,17","1,13","1,37"
27,alarma,"2,34","3,23","1,45","1,86"
28,alegría,"1,00","1,23","4,77","1,00"
29,alegrar,"1,03","1,43","4,73","1,07"
30,altercado,"2,79","2,93","1,07","2,25"
31,amante,"2,20","2,23","2,97","2,00"
32,amado,"1,40","1,97","4,33","1,37"
33,amargura,"2,70","2,57","1,00","4,43"
34,ambición,"1,80","1,93","2,73","1,67"
35,amar,"1,23","2,27","4,90","1,90"
36,amenazador,"3,70","4,27","1,00","2,40"
37,amenazar,"4,13","4,10","1,00","3,07"
38,amiga,"1,33","1,53","4,10","1,90"
39,amor,"1,63","2,60","4,70","2,23"
40,amigo,"1,20","1,57","4,53","1,53"
41,ángel,"1,17","1,07","3,10","1,50"
42,anhelo,"1,67","2,33","1,83","3,60"
43,aniquilar,"4,21","4,07","1,21","3,72"
44,ansiedad,"2,87","3,77","1,20","3,57"
45,ansioso,"2,23","2,80","1,33","2,47"
46,anorexia,"2,40","3,43","1,03","4,23"
47,antipático,"2,70","1,70","1,10","2,67"
48,apasionado,"1,40","1,60","4,17","1,23"
49,apendicitis,"1,59","3,59","1,07","2,69"
50,aplastar,"2,90","3,21","1,07","2,66"
51,araña,"2,333333333","3,533333333","1,166666667","1,5"
52,argumento,"1,57","1,80","2,37","1,50"
53,armonía,"1,00","1,03","4,10","1,24"
54,arma,"3,33","3,70","1,20","3,20"
55,arriesgado,"1,17","3,60","2,20","1,37"
56,asesinar,"4,13","4,23","1,00","3,73"
57,asilo,"1,82","2,89","1,64","3,68"
58,asustado,"1,87","3,73","1,03","2,97"
59,asustar,"2,90","4,11","1,62","2,00"
60,atacar,"3,93","3,57","1,20","2,50"
61,ataque,"3,13","3,50","1,43","2,53"
62,aterrorizar,"3,41","4,59","1,07","2,93"
63,aterrorizado,"2,47","4,77","1,10","2,63"
64,aturdido,"1,80","2,83","1,17","2,03"
65,ausencia,"2,17","2,93","1,33","4,03"
66,auténtico,"1,37","1,50","3,87","1,30"
67,avalancha,"1,70","3,73","1,17","1,83"
68,avergonzado,"2,33","3,00","1,20","3,03"
69,avispa,"2,27","4,07","1,03","1,47"
70,bailar,"1,17","1,30","4,13","1,13"
71,baile,"1,42","1,65","4,20","1,48"
72,bancarrota,"2,90","3,50","1,00","3,50"
73,bastardo,"2,10","1,60","1,07","2,23"
74,bendecir,"1,23","1,23","2,20","1,43"
75,bebé,"1,32","1,87","4,55","1,29"
76,belleza,"1,23","1,40","3,87","1,57"
77,bengala,"1,50","2,37","2,07","1,20"
78,bendición,"1,37","1,17","2,50","1,30"
79,bienestar,"1,00","1,14","4,66","1,00"
80,beso,"1,10","1,30","4,27","1,47"
81,bestia,"2,37","3,30","1,23","1,63"
82,boda,"1,10","1,93","4,13","1,57"
83,bisturí,"1,53","3,40","1,13","2,20"
84,blasfemia,"2,92","1,77","1,08","2,42"
85,bombas,"3,37","4,50","1,10","3,37"
86,bofetada,"4,10","3,10","1,20","3,03"
87,bombardear,"3,70","4,47","1,00","4,30"
88,bondad,"1,27","1,43","4,10","1,27"
89,arrasar,"2,57","2,60","2,17","2,10"
90,bote,"1,28","1,55","2,55","1,28"
91,bruja,"1,50","1,97","1,87","1,33"
92,brutal,"2,37","2,83","1,87","1,90"
93,brutalidad,"3,77","3,43","1,17","3,40"
94,bueno,"1,07","1,10","4,03","1,13"
95,caimán,"1,70","3,67","1,33","1,43"
96,calentar,"1,57","1,60","2,33","1,23"
97,caída,"2,50","3,00","1,17","3,03"
98,calma,"1,00","1,30","3,90","1,40"
99,calor,"1,60","1,23","3,57","1,27"
100,campeona,"1,00","1,03","4,00","1,03"
101,cañones,"3,17","3,30","1,27","2,53"
102,campeón,"1,07","1,17","4,57","1,27"
103,cáncer,"3,67","4,80","1,03","4,63"
104,cañón,"3,17","3,27","1,50","2,67"
105,caricia,"1,20","1,23","4,53","1,40"
106,caprichoso,"2,47","1,31","1,38","2,07"
107,carnicería,"1,93","1,80","1,30","2,27"
108,casa,"1,23","1,23","3,77","1,33"
109,carnicero,"1,00","1,33","1,40","1,10"
110,castigar,"3,47","3,33","1,07","3,27"
111,castigo,"3,87","3,83","1,03","3,83"
112,catástrofe,"3,07","4,60","1,00","4,73"
113,celebrar,"1,10","1,40","4,47","1,40"
114,cazador,"3,20","2,57","1,23","2,83"
115,ceguera,"2,53","4,17","1,00","4,13"
116,celebracion,"1,17","1,43","4,73","1,33"
117,celo,"1,90","1,80","1,40","1,87"
118,celos,"3,30","3,20","1,27","3,13"
119,cementerio,"1,63","3,07","1,13","4,23"
120,chica,"1,28","1,34","2,97","1,34"
121,chico,"1,27","1,20","2,80","1,17"
122,chantaje,"3,93","2,79","1,07","2,79"
123,ciclón,"1,83","3,93","1,07","2,73"
124,cirugía,"1,27","3,93","1,43","2,07"
125,coacción,"3,80","3,47","1,20","3,33"
126,colapso,"2,63","2,77","1,13","2,27"
127,cobarde,"2,40","2,00","1,10","2,73"
128,cocodrilo,"1,40","3,80","1,33","1,13"
129,cólera,"3,97","2,50","1,00","2,57"
130,coma,"1,50","2,00","1,17","2,13"
131,comodidad,"1,03","1,13","4,10","1,23"
132,comprometido,"1,27","1,93","2,73","1,33"
133,condenado,"2,37","2,93","1,27","3,03"
134,confianza,"1,27","1,63","4,23","1,20"
135,confidente,"1,17","1,77","3,00","1,20"
136,consolador,"1,03","1,03","2,80","1,20"
137,contento,"1,13","1,19","4,52","1,19"
138,corazón,"1,40","1,57","3,43","1,73"
139,corromper,"3,55","2,59","1,10","2,76"
140,crimen,"3,63","3,77","1,03","3,53"
141,criminal,"3,33","3,57","1,07","2,53"
142,crisis,"3,80","3,90","1,07","3,97"
143,crucero,"1,00","2,30","3,97","1,03"
144,crucifixión,"2,48","3,22","1,22","3,00"
145,crueldad,"4,50","3,67","1,00","4,37"
146,cuerpo,"1,23","1,37","2,30","1,40"
147,culpable,"3,40","2,70","1,10","3,53"
148,culto,"1,07","1,27","3,00","1,17"
149,cumpleaños,"1,17","1,70","3,97","1,73"
150,daga,"2,11","3,00","1,32","1,93"
151,dañar,"3,80","3,53","1,03","3,57"
152,daño,"3,60","3,73","1,03","3,90"
153,defectuoso,"2,10","3,23","1,03","4,23"
154,decepcionar,"3,53","3,37","1,00","4,33"
155,degeneración,"2,47","2,87","1,23","2,90"
156,deleite,"1,17","1,23","3,80","1,13"
157,delicado,"1,40","2,47","2,23","2,00"
158,delirio,"1,80","3,10","1,30","2,37"
159,demencia,"2,13","3,37","1,10","4,03"
160,demente,"1,73","2,67","1,17","3,13"
161,desafiar,"2,30","2,53","1,53","1,87"
162,desamor,"3,30","3,47","1,23","4,67"
163,desanimado,"1,77","2,00","1,03","3,90"
164,desastre,"2,17","3,07","1,03","3,27"
165,desaparición,"2,77","4,03","1,10","4,17"
166,descanso,"1,07","1,07","4,17","1,20"
167,descomposición,"1,47","2,03","1,10","1,83"
168,desdeñoso,"2,15","1,42","1,31","2,23"
169,desesperado,"2,70","2,83","1,00","3,27"
170,desigualdad,"3,80","2,77","1,07","4,00"
171,desleal,"3,57","2,50","1,03","3,30"
172,desorden,"2,77","1,50","1,47","2,00"
173,fastidiar,"3,67","1,63","1,03","2,23"
174,despreciar,"3,30","2,10","1,03","3,07"
175,desprecio,"3,30","2,37","1,00","3,13"
176,despreocupado,"1,83","1,37","2,27","1,37"
177,desterrar,"3,03","2,90","1,10","3,47"
178,destrucción,"3,43","3,57","1,07","3,93"
179,destruir,"3,70","3,63","1,07","3,77"
180,deterioro,"2,00","2,73","1,07","3,37"
181,devastar,"3,70","3,93","1,03","4,37"
182,diablo,"2,43","2,83","1,17","1,57"
183,diamante,"1,07","1,07","3,43","1,07"
184,dichoso,"1,30","1,30","3,80","1,30"
185,dictador,"4,10","3,37","1,03","3,03"
186,dictadura,"3,77","4,07","1,03","3,77"
187,dificultad,"2,53","3,30","1,67","2,37"
188,difunto,"2,40","3,40","1,00","4,47"
189,dignidad,"1,73","1,77","3,17","1,73"
190,dinero,"2,07","2,07","3,73","2,17"
191,diosa,"1,43","1,60","3,03","1,27"
192,dios,"1,43","1,63","2,00","1,50"
193,disfrutar,"1,00","1,10","4,97","1,03"
194,disgusto,"3,27","3,20","1,00","4,13"
195,disparar,"4,24","4,38","1,10","3,41"
196,disputa,"3,80","2,53","1,53","3,17"
197,disturbio,"2,37","2,60","1,50","1,93"
198,diversión,"1,17","1,27","4,53","1,07"
199,divertido,"1,00","1,14","4,69","1,03"
200,divorcio,"2,90","3,40","1,37","4,00"
201,dureza,"1,93","2,13","1,40","2,10"
202,elegante,"1,33","1,20","3,37","1,17"
203,eliminación,"2,27","2,60","1,37","2,87"
204,embolia,"2,58","3,96","1,00","3,96"
205,enamorado,"1,30","2,10","4,70","1,40"
206,encantar,"1,03","1,14","4,39","1,00"
207,enfado,"3,90","2,27","1,00","2,70"
208,enfermo,"2,10","3,23","1,03","4,23"
209,enfurecer,"4,40","3,27","1,10","3,00"
210,engañado,"3,97","3,00","1,17","4,20"
211,enterrador,"1,33","2,57","1,07","3,03"
212,erótico,"1,20","1,23","3,20","1,20"
213,escándalo,"2,73","2,63","1,70","2,17"
214,esclavo,"3,57","2,70","1,03","4,23"
215,escorpión,"1,67","3,80","1,17","1,53"
216,esfuerzo,"1,40","1,80","3,50","1,27"
217,elogio,"1,40","1,47","3,93","1,23"
218,esperanza,"1,10","1,17","4,30","1,27"
219,espantoso,"2,10","3,43","1,07","2,27"
220,espléndido,"1,10","1,17","4,13","1,30"
221,esposa,"1,24","1,45","2,83","1,45"
222,estallar,"3,17","3,03","1,48","2,72"
223,esterilidad,"2,20","2,87","1,13","3,43"
224,estrangular,"4,32","4,32","1,03","3,39"
225,estúpido,"3,03","1,67","1,13","2,57"
226,euforia,"1,47","1,43","4,47","1,07"
227,excelencia,"1,30","1,80","3,70","1,33"
228,excitar,"1,53","1,53","4,20","1,40"
229,exclusión,"3,50","3,30","1,03","3,97"
230,exilio,"3,00","3,27","1,07","3,83"
231,éxito,"1,33","2,43","4,43","1,30"
232,exitoso,"1,20","1,80","4,40","1,17"
233,explosivo,"3,03","3,93","1,53","2,55"
234,éxtasis,"1,57","1,77","3,67","1,37"
235,exterminar,"3,13","3,63","1,23","3,43"
236,exquisito,"1,13","1,07","3,60","1,03"
237,fácil,"1,20","1,47","3,10","1,17"
238,fatalidad,"2,67","3,37","1,00","3,90"
239,familia,"1,30","1,47","4,30","1,90"
240,favorito,"1,30","1,23","3,83","1,27"
241,fealdad,"1,55","1,45","1,21","2,07"
242,felicidad,"1,07","1,07","4,93","1,07"
243,feliz,"1,00","1,20","4,63","1,10"
244,festivo,"1,07","1,10","4,83","1,00"
245,fiel,"1,27","1,63","3,93","1,33"
246,fiesta,"1,07","1,28","4,69","1,14"
247,flor,"1,10","1,17","3,87","1,43"
248,florecer,"1,13","1,17","4,03","1,17"
249,fortuna,"1,17","1,30","4,43","1,14"
250,frustración,"3,70","3,43","1,07","3,87"
251,frustrado,"3,07","2,07","1,13","3,03"
252,fuego,"2,10","3,87","1,80","1,97"
253,fugitivo,"2,20","3,30","1,20","1,93"
254,funeral,"2,07","3,07","1,10","4,53"
255,furia,"4,33","3,00","1,03","2,77"
256,ganadora,"1,40","1,50","4,10","1,40"
257,ganador,"1,07","1,30","4,43","1,17"
258,ganancias,"1,20","1,27","3,97","1,17"
259,ganar,"1,23","1,33","4,20","1,17"
260,generoso,"1,13","1,37","4,23","1,17"
261,genial,"1,03","1,17","4,47","1,03"
262,genialidad,"1,17","1,23","3,87","1,13"
263,gloria,"1,10","1,33","3,90","1,17"
264,golpear,"4,13","3,30","1,07","2,87"
265,gota,"1,37","1,20","1,63","1,70"
266,gracia,"1,20","1,00","4,20","1,07"
267,granada,"2,59","3,17","1,69","2,72"
268,grave,"2,80","4,13","1,10","4,00"
269,gratis,"1,13","1,20","4,33","1,07"
270,guillotina,"3,45","4,14","1,10","3,66"
271,harto,"2,57","1,47","1,07","1,90"
272,herido,"1,73","3,13","1,00","3,90"
273,hermoso,"1,17","1,40","4,33","1,20"
274,héroe,"1,33","1,50","3,87","1,30"
275,heroísmo,"1,70","2,00","3,03","1,37"
276,heroína,"2,77","3,00","1,73","2,83"
277,hija,"1,33","2,27","3,77","1,53"
278,hijo,"1,23","2,00","4,43","1,43"
279,homicida,"3,76","4,24","1,03","3,52"
280,homicidio,"3,83","4,33","1,00","4,53"
281,hogar,"1,67","1,50","4,30","1,83"
282,horca,"2,46","3,11","1,32","2,82"
283,honrado,"1,00","1,07","4,10","1,14"
284,horror,"2,27","4,17","1,13","2,20"
285,horroroso,"2,37","3,27","1,07","2,00"
286,huérfano,"2,07","2,93","1,03","4,31"
287,humillar,"4,23","2,80","1,00","4,00"
288,huracán,"2,73","4,53","1,07","3,47"
289,humor,"1,57","1,30","4,47","1,53"
290,impotente,"3,03","2,23","1,10","2,80"
291,incomodidad,"2,50","2,40","1,13","2,43"
292,incurable,"3,20","4,40","1,13","4,40"
293,infarto,"1,77","4,47","1,00","3,37"
294,infección,"1,77","3,33","1,03","2,40"
295,infeliz,"2,27","2,80","1,00","4,57"
296,inmoral,"3,07","2,10","1,23","2,83"
297,inspirado,"1,33","1,30","3,63","1,47"
298,inspirar,"1,17","1,40","3,20","1,33"
299,insulto,"4,00","2,57","1,07","3,17"
300,íntimo,"1,07","1,73","3,23","1,53"
301,invasión,"3,43","3,53","1,17","2,77"
302,invasor,"2,90","3,40","1,03","2,10"
303,inyección,"1,47","3,10","1,10","1,90"
304,irrespetuoso,"3,50","1,60","1,07","2,40"
305,irritar,"3,77","1,87","1,00","2,47"
306,jovial,"1,07","1,07","3,93","1,07"
307,joya,"1,17","1,17","3,20","1,13"
308,jubiloso,"1,21","1,21","3,36","1,29"
309,júbilo,"1,20","1,33","4,20","1,27"
310,lamentar,"2,60","2,57","1,03","4,50"
311,lamento,"2,03","2,67","1,27","4,10"
312,lágrima,"2,50","2,07","1,97","4,07"
313,lástima,"2,20","2,20","1,03","4,33"
314,látigo,"2,63","2,80","1,40","1,83"
315,lesión,"2,23","2,80","1,00","3,33"
316,lesionar,"3,00","3,70","1,03","3,33"
317,ligar,"1,37","1,87","3,83","1,13"
318,linchar,"3,97","3,55","1,19","3,39"
319,llanto,"2,37","2,70","1,73","4,20"
320,loca,"2,13","2,83","1,70","2,50"
321,lograr,"1,13","1,60","4,27","1,00"
322,lujo,"1,43","1,23","3,53","1,27"
323,loco,"1,93","2,87","1,50","2,60"
324,mágico,"1,13","1,83","3,70","1,17"
325,malaria,"2,79","4,10","1,00","4,24"
326,maldad,"3,80","3,43","1,13","3,23"
327,maldición,"3,23","3,80","1,00","2,97"
328,malestar,"2,13","2,50","1,07","3,57"
329,malicia,"3,60","3,43","1,03","3,17"
330,malvado,"3,27","3,23","1,03","2,50"
331,manosear,"2,20","2,10","1,40","1,60"
332,mártir,"2,45","1,97","1,10","3,55"
333,martirio,"3,23","3,47","1,00","3,63"
334,mareado,"1,30","2,40","1,03","2,20"
335,masacre,"4,23","4,40","1,00","4,67"
336,matar,"4,52","4,59","1,00","4,20"
337,maternidad,"1,17","2,50","3,93","1,33"
338,máscara,"1,97","2,30","2,17","2,17"
339,miedo,"1,97","4,10","1,07","2,40"
340,milagro,"1,23","1,83","3,57","1,27"
341,miseria,"2,80","3,07","1,07","4,20"
342,misil,"3,97","4,53","1,13","4,10"
343,molestar,"3,60","1,73","1,23","2,23"
344,morgue,"2,14","3,10","1,10","4,24"
345,mortal,"2,40","4,00","1,70","3,73"
346,muerte,"2,87","4,20","1,00","4,67"
347,mueca,"1,70","1,73","1,93","1,70"
348,música,"1,33","1,47","4,83","2,83"
349,mutilación,"4,03","4,10","1,00","3,83"
350,mutilar,"3,57","4,23","1,00","3,83"
351,naufragio,"2,30","3,70","1,20","3,67"
352,naturaleza,"1,20","2,03","4,13","1,70"
353,navidad,"1,27","1,20","4,23","1,63"
354,negativo,"2,23","2,43","1,17","3,20"
355,negligencia,"3,03","2,72","1,03","2,83"
356,neurótico,"2,37","3,30","1,10","2,67"
357,nieta,"1,23","1,57","3,53","1,67"
358,nieto,"1,17","1,37","4,23","1,60"
359,odio,"4,10","3,30","1,03","3,63"
360,ofender,"3,37","2,50","1,07","3,00"
361,odiar,"4,07","2,27","1,03","2,80"
362,olvido,"2,58","3,39","1,39","3,87"
363,oprimir,"3,73","3,60","1,00","3,07"
364,optimismo,"1,10","1,27","4,33","1,27"
365,orgasmo,"1,13","1,13","4,70","1,20"
366,orgullo,"2,50","1,80","2,20","2,30"
367,orgulloso,"1,90","1,33","3,07","1,53"
368,oscuro,"2,40","3,83","1,13","3,20"
369,oso,"1,30","3,33","2,60","1,30"
370,pánico,"2,37","4,80","1,03","2,73"
371,paraíso,"1,03","1,57","4,60","1,07"
372,paz,"1,13","1,23","4,40","1,20"
373,pavor,"2,27","4,57","1,13","2,63"
374,pecaminoso,"1,58","1,50","1,42","1,54"
375,penetración,"1,27","1,67","2,53","1,17"
376,pelear,"4,11","3,28","1,07","3,31"
377,perder,"3,23","3,13","1,20","3,93"
378,perjudicar,"3,27","2,67","1,10","3,30"
379,persecución,"2,60","3,23","1,30","2,23"
380,pesadilla,"2,41","4,62","1,03","3,30"
381,pesimismo,"2,27","2,87","1,00","4,07"
382,pesimista,"2,80","3,17","1,20","4,20"
383,pistola,"3,00","4,10","1,00","2,47"
384,pirómano,"3,23","3,73","1,37","2,80"
385,playa,"1,07","1,47","4,30","1,50"
386,placer,"1,17","1,37","4,77","1,07"
387,pobre,"1,87","1,40","1,00","4,23"
388,pobreza,"3,00","2,80","1,03","4,67"
389,pólvora,"2,03","3,17","1,72","1,79"
390,pleito,"2,50","2,75","1,50","2,30"
391,positivo,"1,07","1,30","4,30","1,03"
392,premio,"1,13","1,47","4,47","1,07"
393,preocupación,"2,37","3,83","1,10","3,70"
394,presa,"2,20","2,63","1,27","2,57"
395,prima,"1,33","1,27","3,13","1,37"
396,prisionero,"2,20","2,93","1,20","2,97"
397,prosperar,"1,03","1,80","4,37","1,27"
398,provocación,"2,77","1,97","2,00","1,63"
399,prosperidad,"1,17","1,77","3,77","1,30"
400,puente,"1,30","1,67","2,27","1,37"
401,purgatorio,"2,00","3,59","1,17","3,03"
402,querida,"1,67","1,73","3,67","1,80"
403,puñalada,"4,17","4,47","1,03","3,67"
404,rabia,"4,10","2,53","1,10","2,57"
405,radiante,"1,03","1,17","3,73","1,10"
406,puta,"2,63","2,23","1,23","3,47"
407,querido,"1,83","2,40","3,90","2,27"
408,rebelde,"2,70","2,27","1,73","2,07"
409,rebelión,"2,73","2,77","2,50","1,67"
410,rechazado,"2,93","2,83","1,03","3,80"
411,rechazo,"3,33","4,13","1,27","4,10"
412,regalo,"1,07","1,60","4,60","1,27"
413,rehén,"3,50","4,20","1,03","3,60"
414,recompensa,"1,17","1,43","3,70","1,20"
415,relámpago,"1,70","2,93","1,57","1,80"
416,relación,"1,57","2,20","3,83","1,90"
417,relajación,"1,03","1,17","3,70","1,37"
418,represión,"3,73","3,00","1,07","3,43"
419,repugnancia,"2,83","1,93","1,00","2,40"
420,rescate,"1,37","2,53","3,33","1,53"
421,respeto,"1,23","1,43","3,40","1,20"
422,resentirse,"2,33","2,30","1,23","3,30"
423,revoltoso,"2,47","1,97","2,20","1,03"
424,revolución,"2,70","2,60","2,80","1,80"
425,revólver,"3,30","4,03","1,27","2,93"
426,revuelta,"2,43","2,37","1,47","1,53"
427,riesgo,"1,47","3,43","2,40","1,50"
428,risa,"1,10","1,03","4,83","1,10"
429,romanticismo,"1,43","1,87","3,87","2,10"
430,romántico,"1,30","1,57","4,13","1,60"
431,romper,"2,93","3,00","1,40","3,07"
432,riña,"3,56","3,00","1,04","3,22"
433,roto,"2,67","2,37","1,23","3,30"
434,ruin,"3,57","1,90","1,03","2,73"
435,rubio,"1,20","1,17","2,17","1,13"
436,matanza,"3,80","3,77","1,07","3,70"
437,sacrificio,"2,37","3,17","1,90","3,27"
438,rugido,"2,30","2,90","1,20","1,17"
439,salvaje,"1,80","2,90","2,23","1,40"
440,salvador,"1,10","1,47","3,40","1,10"
441,santo,"1,23","1,23","1,93","1,23"
442,sangriendo,"2,23","3,53","1,03","2,87"
443,sanguijuela,"1,30","2,57","1,07","1,07"
444,satisfacción,"1,13","1,10","4,73","1,03"
445,satisfecho,"1,00","1,07","4,07","1,03"
446,secuestrar,"4,13","4,47","1,03","3,57"
447,ternura,"1,07","1,07","4,07","1,27"
448,sensibilidad,"1,33","2,07","2,80","2,37"
449,sensualidad,"1,23","1,50","3,63","1,33"
450,serenidad,"1,00","1,21","3,31","1,34"
451,serpiente,"1,53","3,13","1,37","1,47"
452,sexo,"1,17","1,37","4,37","1,07"
453,sirena,"1,10","1,77","2,00","1,23"
454,apuro,"2,13","3,10","1,13","2,33"
455,situación,"1,90","2,27","2,13","2,20"
456,sobresaliente,"1,17","1,23","4,67","1,03"
457,destacar,"1,21","1,38","3,55","1,24"
458,sobresalir,"1,43","2,07","2,73","1,47"
459,socorro,"1,57","3,87","1,33","2,93"
460,soldado,"2,00","2,30","1,77","2,67"
461,sonreír,"1,03","1,03","4,90","1,13"
462,solo,"1,43","2,63","1,50","3,60"
463,sonrisa,"1,39","1,52","4,58","1,52"
464,sorpresa,"1,33","2,03","4,07","1,40"
465,sosiego,"1,39","1,43","2,64","1,79"
466,sueño,"1,47","1,53","3,17","1,80"
467,culebra,"1,83","3,83","1,30","1,33"
468,suspenso,"4,00","3,84","1,26","4,45"
469,susto,"2,57","4,03","1,53","1,97"
470,tarántula,"2,13","4,13","1,17","1,77"
471,temerario,"2,47","4,07","1,70","1,73"
472,temeroso,"1,73","3,23","1,27","2,23"
473,tensión,"2,63","2,70","1,27","2,27"
474,tenebroso,"1,93","3,93","1,27","2,30"
475,tenso,"2,40","2,87","1,17","2,23"
476,terrorismo,"4,53","4,37","1,07","4,30"
477,terrorista,"4,13","4,37","1,03","3,37"
478,tesoro,"1,10","1,33","3,90","1,17"
479,tiranía,"3,90","3,93","1,07","3,63"
480,tirano,"3,40","2,73","1,00","2,43"
481,tonto,"1,77","1,30","1,20","2,67"
482,tormenta,"1,50","2,53","1,53","2,53"
483,tormento,"3,03","2,80","1,17","3,27"
484,tornado,"2,17","4,07","1,03","2,70"
485,tortura,"4,03","4,43","1,00","4,43"
486,tragedia,"2,97","3,73","1,00","4,83"
487,traicionar,"4,27","2,57","1,07","3,53"
488,traidor,"4,03","2,30","1,03","3,10"
489,tranquilidad,"1,10","1,17","4,07","1,30"
490,trauma,"2,50","4,03","1,00","4,10"
491,turbulento,"1,93","3,28","1,31","1,86"
492,úlcera,"1,87","2,73","1,03","2,47"
493,vacaciones,"1,07","1,11","4,19","1,19"
494,vampiro,"1,47","2,43","1,20","1,23"
495,verano,"1,07","1,17","4,63","1,13"
496,vergonzoso,"1,83","2,67","1,27","2,77"
497,vértigo,"1,43","3,80","1,20","1,90"
498,victoria,"1,43","1,20","4,50","1,27"
499,victorioso,"1,17","1,40","4,60","1,10"
500,vida,"1,63","2,30","4,20","2,17"
501,violento,"4,37","3,93","1,07","3,47"
502,vitalidad,"1,03","1,13","4,23","1,13"
503,viuda,"1,87","2,57","1,23","4,07"
504,viudo,"2,10","2,97","1,13","4,20"
505,vívido,"1,08","1,72","2,72","1,60"
506,volcán,"2,20","4,00","1,53","2,00"
