,Términos,enfado,miedo,alegría,tristeza
0,abandono,1.0,1.0,0.0,1.0
1,abismal,0.0,0.0,0.0,1.0
2,abollado,0.0,1.0,0.0,1.0
3,abominable,0.0,1.0,0.0,0.0
4,abominación,1.0,1.0,0.0,0.0
5,aborrecer,1.0,1.0,0.0,0.0
6,aborrecible,1.0,1.0,0.0,0.0
7,abortivo,0.0,0.0,0.0,1.0
8,aborto,0.0,1.0,0.0,1.0
9,abrasador,1.0,0.0,0.0,0.0
10,abrumada,0.0,0.0,0.0,1.0
11,abrumador,1.0,1.0,0.0,0.0
12,abundancia,0.0,0.0,1.0,0.0
13,abuso,1.0,1.0,0.0,1.0
14,acantilado,0.0,1.0,0.0,0.0
15,accidente,0.0,1.0,0.0,1.0
16,acelerador,1.0,0.0,0.0,0.0
17,aclarar,0.0,0.0,1.0,0.0
18,acoso,1.0,1.0,0.0,1.0
19,acusando,1.0,1.0,0.0,0.0
20,admirable,0.0,0.0,1.0,0.0
21,admiración,0.0,0.0,1.0,0.0
22,adorable,0.0,0.0,1.0,0.0
23,veneración,0.0,0.0,1.0,0.0
24,adoración,0.0,0.0,1.0,0.0
25,adorar,0.0,0.0,1.0,0.0
26,adulterio,0.0,0.0,0.0,1.0
27,afán,0.0,0.0,1.0,0.0
28,afligirse,0.0,1.0,0.0,1.0
29,afortunadísimo,0.0,0.0,1.0,0.0
30,agitación,1.0,0.0,0.0,0.0
31,agitado,1.0,0.0,0.0,0.0
32,agonía,1.0,1.0,0.0,1.0
33,agonizante,0.0,1.0,0.0,0.0
34,agotador,1.0,1.0,0.0,1.0
35,agradecido,0.0,0.0,1.0,0.0
36,agravación,1.0,0.0,0.0,0.0
37,agravado,1.0,0.0,0.0,0.0
38,agravante,1.0,0.0,0.0,1.0
39,agresión,1.0,1.0,0.0,0.0
40,agresivo,1.0,1.0,0.0,0.0
41,lacerante,0.0,1.0,0.0,0.0
42,agudo,0.0,1.0,0.0,0.0
43,ahogar,1.0,1.0,0.0,1.0
44,ahogo,1.0,0.0,0.0,1.0
45,airado,1.0,0.0,0.0,0.0
46,aislamiento,0.0,0.0,0.0,1.0
47,aislar,0.0,0.0,0.0,1.0
48,alarma,0.0,1.0,0.0,0.0
49,alarmante,0.0,1.0,0.0,0.0
50,alcoholismo,1.0,1.0,0.0,1.0
51,alegación,1.0,0.0,0.0,0.0
52,alegrarse,0.0,0.0,1.0,0.0
53,alegría,0.0,0.0,1.0,0.0
54,alejado,1.0,1.0,0.0,1.0
55,alentar,0.0,0.0,1.0,0.0
56,alienación,1.0,1.0,0.0,1.0
57,alienado,0.0,0.0,0.0,1.0
58,alimañas,1.0,1.0,0.0,0.0
59,altercado,1.0,0.0,0.0,0.0
60,amante,1.0,0.0,1.0,0.0
61,amargamente,1.0,0.0,0.0,1.0
62,amargura,1.0,0.0,0.0,1.0
63,ambición,0.0,0.0,1.0,0.0
64,ambicioso,0.0,0.0,1.0,0.0
65,amenazador,1.0,1.0,0.0,0.0
66,amenazar,1.0,1.0,0.0,0.0
67,amistad,0.0,0.0,1.0,0.0
68,amor,0.0,0.0,1.0,0.0
69,anaconda,0.0,1.0,0.0,0.0
70,anarquía,1.0,1.0,0.0,0.0
71,anarquismo,1.0,1.0,0.0,0.0
72,anarquista,1.0,1.0,0.0,0.0
73,anatema,1.0,1.0,0.0,1.0
74,ángel,0.0,0.0,1.0,0.0
75,angelical,0.0,0.0,1.0,0.0
76,angina de pecho,0.0,1.0,0.0,0.0
77,angustioso,1.0,1.0,0.0,0.0
78,anhelo,0.0,0.0,1.0,0.0
79,animosidad,1.0,1.0,0.0,1.0
80,aniquilación,1.0,1.0,0.0,1.0
81,aniquilado,1.0,1.0,0.0,1.0
82,aniversario,0.0,0.0,1.0,0.0
83,ansiedad,1.0,1.0,0.0,1.0
84,ansioso,0.0,1.0,1.0,0.0
85,antagonismo,1.0,0.0,0.0,0.0
86,antecristo,1.0,1.0,0.0,0.0
87,antipático,1.0,1.0,0.0,1.0
88,antisocial,1.0,1.0,0.0,1.0
89,antítesis,1.0,0.0,0.0,0.0
90,ántrax,0.0,1.0,0.0,1.0
91,aparición,0.0,1.0,0.0,0.0
92,apasionado,0.0,0.0,1.0,0.0
93,apendicitis,0.0,1.0,0.0,1.0
94,aplastada,1.0,1.0,0.0,1.0
95,devastador,1.0,1.0,0.0,0.0
96,aplastar,1.0,0.0,0.0,0.0
97,apreciación,0.0,0.0,1.0,0.0
98,aprehender,0.0,1.0,0.0,0.0
99,aprensivo,0.0,1.0,0.0,0.0
100,apresador,0.0,1.0,0.0,0.0
101,araña,0.0,1.0,0.0,0.0
102,argumentación,1.0,0.0,0.0,0.0
103,argumento,1.0,0.0,0.0,0.0
104,armado,1.0,1.0,0.0,0.0
105,armas (de fuego),1.0,1.0,0.0,0.0
106,armonía,0.0,0.0,1.0,0.0
107,armoniosamente,0.0,0.0,1.0,0.0
108,absorto,0.0,0.0,1.0,0.0
109,arriesgado,0.0,1.0,0.0,0.0
110,arsénico,0.0,1.0,0.0,1.0
111,asar,1.0,0.0,0.0,0.0
112,asco,1.0,1.0,0.0,1.0
113,asesinar,1.0,1.0,0.0,0.0
114,asfixia,1.0,1.0,0.0,0.0
115,asilo,0.0,1.0,0.0,0.0
116,asombro,0.0,0.0,1.0,0.0
117,aspirar,0.0,0.0,1.0,0.0
118,atacar,1.0,1.0,0.0,0.0
119,ataque,1.0,1.0,0.0,0.0
120,aterosclerosis,0.0,1.0,0.0,1.0
121,aterrorizar,1.0,1.0,0.0,1.0
122,atornillado,1.0,0.0,0.0,0.0
123,atrofia,0.0,1.0,0.0,1.0
124,atroz,1.0,0.0,0.0,0.0
125,aturdido,0.0,1.0,0.0,0.0
126,aullido,1.0,1.0,0.0,1.0
127,ausencia,0.0,1.0,0.0,1.0
128,auténtico,0.0,0.0,1.0,0.0
129,autopsia,0.0,1.0,0.0,1.0
130,avalancha,0.0,1.0,0.0,1.0
131,avergonzado,0.0,0.0,0.0,1.0
132,azotaina,1.0,0.0,0.0,0.0
133,azotar,1.0,1.0,0.0,1.0
134,baile,0.0,0.0,1.0,0.0
135,bancarrota,1.0,1.0,0.0,1.0
136,bastardo,0.0,0.0,0.0,1.0
137,batalla,1.0,0.0,0.0,0.0
138,batería,1.0,0.0,0.0,0.0
139,bebé,0.0,0.0,1.0,0.0
140,belicoso,1.0,1.0,0.0,0.0
141,beligerante,1.0,1.0,0.0,0.0
142,belleza,0.0,0.0,1.0,0.0
143,bendecido,0.0,0.0,1.0,0.0
144,bendición,0.0,0.0,1.0,0.0
145,bendiciones,0.0,0.0,1.0,0.0
146,beso,0.0,0.0,1.0,0.0
147,bestia,1.0,1.0,0.0,0.0
148,bilis,1.0,0.0,0.0,0.0
149,biopsia,0.0,1.0,0.0,0.0
150,bisturí,0.0,1.0,0.0,0.0
151,blasfemia,1.0,0.0,0.0,0.0
152,blasfemo,1.0,0.0,0.0,0.0
153,bloqueo,1.0,1.0,0.0,1.0
154,bofetada,1.0,0.0,0.0,0.0
155,bomba,1.0,1.0,0.0,1.0
156,bombardear,1.0,1.0,0.0,0.0
157,bonanza,0.0,0.0,1.0,0.0
158,bondad,0.0,0.0,1.0,0.0
159,arrasar,1.0,1.0,0.0,0.0
160,bote,0.0,0.0,1.0,0.0
161,brigada,0.0,1.0,0.0,0.0
162,brillar,0.0,0.0,1.0,0.0
163,luz solar,0.0,0.0,1.0,0.0
164,bruja,1.0,1.0,0.0,0.0
165,brujo,0.0,1.0,0.0,0.0
166,brutal,1.0,1.0,0.0,0.0
167,brutalidad,1.0,1.0,0.0,0.0
168,bruto,1.0,1.0,0.0,1.0
169,bueno,0.0,0.0,1.0,0.0
170,bullicioso,1.0,0.0,1.0,0.0
171,caída,0.0,1.0,0.0,1.0
172,calamidad,0.0,0.0,0.0,1.0
173,calina,1.0,0.0,0.0,0.0
174,calloso,1.0,0.0,0.0,0.0
175,campeón,0.0,0.0,1.0,0.0
176,cáncer,1.0,1.0,0.0,1.0
177,caníbal,0.0,1.0,0.0,0.0
178,cañón,1.0,1.0,0.0,0.0
179,caos,1.0,1.0,0.0,1.0
180,caótico,1.0,0.0,0.0,0.0
181,caprichoso,0.0,0.0,1.0,0.0
182,carcinoma,0.0,1.0,0.0,1.0
183,caritativo,0.0,0.0,1.0,0.0
184,carnicería,1.0,1.0,0.0,1.0
185,carnicero,1.0,1.0,0.0,0.0
186,carnívoro,0.0,1.0,0.0,0.0
187,apoplejía,0.0,1.0,0.0,1.0
188,casar,0.0,1.0,1.0,0.0
189,castigado,1.0,1.0,0.0,1.0
190,castigar,0.0,1.0,0.0,0.0
191,castigo,1.0,1.0,0.0,0.0
192,catástrofe,1.0,1.0,0.0,1.0
193,cautivar,0.0,0.0,1.0,0.0
194,cautiverio,0.0,0.0,0.0,1.0
195,cautivo,0.0,1.0,0.0,1.0
196,caza,1.0,1.0,0.0,0.0
197,cazador,0.0,1.0,0.0,1.0
198,ceguera,0.0,0.0,0.0,1.0
199,celebracion,0.0,0.0,1.0,0.0
200,celebrado,0.0,0.0,1.0,0.0
201,celebrando,0.0,0.0,1.0,0.0
202,celo,0.0,0.0,1.0,0.0
203,celos,1.0,1.0,0.0,1.0
204,cementerio,0.0,1.0,0.0,1.0
205,centelleo,0.0,0.0,1.0,0.0
206,frunciendo,1.0,0.0,0.0,1.0
207,cercanía,0.0,0.0,1.0,0.0
208,chantaje,1.0,1.0,0.0,0.0
209,chocando,1.0,1.0,0.0,0.0
210,chorro,0.0,0.0,1.0,0.0
211,cianuro,0.0,1.0,0.0,0.0
212,ciclón,0.0,1.0,0.0,0.0
213,cirugía,0.0,1.0,0.0,1.0
214,citomegalovirus,0.0,0.0,0.0,1.0
215,clímax,0.0,0.0,1.0,0.0
216,coacción,1.0,1.0,0.0,1.0
217,cobarde,0.0,1.0,0.0,1.0
218,cobardemente,0.0,1.0,0.0,0.0
219,cobardía,0.0,1.0,0.0,0.0
220,cobra,0.0,1.0,0.0,0.0
221,cocodrilo,0.0,1.0,0.0,0.0
222,coerción,1.0,1.0,0.0,1.0
223,cólera,0.0,1.0,0.0,1.0
224,colgando,1.0,1.0,0.0,1.0
225,colisión,1.0,0.0,0.0,0.0
226,colmillo,0.0,1.0,0.0,0.0
227,colmillos,0.0,1.0,0.0,0.0
228,coma,0.0,1.0,0.0,1.0
229,comatoso,0.0,1.0,0.0,1.0
230,combatiente,1.0,1.0,0.0,0.0
231,combativo,1.0,1.0,0.0,0.0
232,comodidad,0.0,0.0,1.0,0.0
233,comprometido,0.0,0.0,1.0,0.0
234,comunismo,1.0,1.0,0.0,1.0
235,concusión,1.0,0.0,0.0,1.0
236,condenado,0.0,1.0,0.0,1.0
237,condescendencia,1.0,0.0,0.0,1.0
238,condolencia,0.0,0.0,0.0,1.0
239,confianza,0.0,1.0,1.0,0.0
240,confidente,0.0,0.0,1.0,0.0
241,confinado,1.0,1.0,0.0,1.0
242,confinamiento,1.0,1.0,0.0,1.0
243,confinar,1.0,1.0,0.0,1.0
244,conflagración,1.0,1.0,0.0,0.0
245,conflicto,1.0,1.0,0.0,1.0
246,confrontar,1.0,0.0,0.0,0.0
247,congratulatorio,0.0,0.0,1.0,0.0
248,consola,0.0,0.0,0.0,1.0
249,conspirador,1.0,1.0,0.0,0.0
250,contagio,0.0,1.0,0.0,0.0
251,contagioso,0.0,1.0,0.0,0.0
252,contaminado,0.0,1.0,0.0,1.0
253,contencioso,1.0,1.0,0.0,0.0
254,contenido,0.0,0.0,1.0,0.0
255,contento,0.0,0.0,1.0,0.0
256,contrabandista,1.0,1.0,0.0,0.0
257,contrabando,1.0,1.0,0.0,0.0
258,coronación,0.0,0.0,1.0,0.0
259,corrompiendo,1.0,1.0,0.0,1.0
260,corrosivo,0.0,1.0,0.0,0.0
261,cremación,0.0,0.0,0.0,1.0
262,criminalidad,1.0,1.0,0.0,0.0
263,cripta,0.0,1.0,0.0,1.0
264,crónico,0.0,0.0,0.0,1.0
265,crucifixión,1.0,1.0,0.0,1.0
266,crueldad,1.0,1.0,0.0,1.0
267,cuarentena,0.0,1.0,0.0,0.0
268,cuerpo de animal muerto,0.0,1.0,0.0,1.0
269,cuerpo,0.0,1.0,0.0,1.0
270,culpable,1.0,0.0,0.0,1.0
271,culto,0.0,1.0,0.0,0.0
272,cumpleaños,0.0,0.0,1.0,0.0
273,cumplimiento,0.0,0.0,1.0,0.0
274,daga,0.0,1.0,0.0,0.0
275,dañar,0.0,1.0,0.0,0.0
276,daño,1.0,0.0,0.0,1.0
277,daños,0.0,0.0,0.0,1.0
278,debacle,0.0,1.0,0.0,1.0
279,decepción,0.0,0.0,0.0,1.0
280,decepcionado,1.0,0.0,0.0,1.0
281,decepcionante,0.0,0.0,0.0,1.0
282,decepcionar,1.0,0.0,0.0,1.0
283,deformado,0.0,0.0,0.0,1.0
284,deformidad,0.0,1.0,0.0,1.0
285,degeneración,1.0,0.0,0.0,1.0
286,degradante,0.0,1.0,0.0,1.0
287,impresionable ,0.0,1.0,0.0,0.0
288,delicado,0.0,1.0,0.0,0.0
289,delirio,1.0,0.0,1.0,1.0
290,demencia,0.0,1.0,0.0,1.0
291,demente,0.0,1.0,0.0,0.0
292,demoler,1.0,0.0,0.0,1.0
293,demoníaco,1.0,1.0,0.0,1.0
294,denuncia,1.0,1.0,0.0,0.0
295,denunciar,1.0,0.0,0.0,0.0
296,deplorable,1.0,1.0,0.0,1.0
297,deplorar,1.0,0.0,0.0,1.0
298,deportación,1.0,1.0,0.0,1.0
299,deportar,0.0,1.0,0.0,1.0
300,depravación,1.0,0.0,0.0,0.0
301,depravado,1.0,1.0,0.0,1.0
302,depresivo,0.0,0.0,0.0,1.0
303,deprimente,0.0,0.0,0.0,1.0
304,deprimir,0.0,1.0,0.0,1.0
305,derrocamiento,0.0,1.0,0.0,0.0
306,derrotado,0.0,0.0,0.0,1.0
307,desacreditar,1.0,0.0,0.0,0.0
308,desafiante,1.0,0.0,0.0,0.0
309,desafiar,1.0,1.0,0.0,1.0
310,desafío,1.0,1.0,0.0,0.0
311,tristemente,0.0,0.0,0.0,1.0
312,desafortunado,1.0,1.0,0.0,1.0
313,desanimar,0.0,1.0,0.0,1.0
314,desalmado,0.0,1.0,0.0,1.0
315,desalojar,0.0,0.0,0.0,1.0
316,desalojo,1.0,1.0,0.0,1.0
317,desanimado,0.0,0.0,0.0,1.0
318,desastre,1.0,1.0,0.0,1.0
319,desastroso,1.0,1.0,0.0,1.0
320,descarado,1.0,0.0,0.0,0.0
321,descomposición,0.0,1.0,0.0,1.0
322,descompuesto,0.0,0.0,0.0,1.0
323,desdeñoso,1.0,0.0,0.0,0.0
324,desesperado,0.0,1.0,0.0,1.0
325,desesperanzado,0.0,1.0,0.0,1.0
326,desfigurado,1.0,1.0,0.0,1.0
327,desfile,0.0,1.0,1.0,0.0
328,desechar,1.0,0.0,0.0,1.0
329,deshonesto,1.0,0.0,0.0,1.0
330,deshonra,1.0,1.0,0.0,1.0
331,deshonrado,1.0,0.0,0.0,1.0
332,desigualdad,1.0,1.0,0.0,1.0
333,desilusión,1.0,0.0,0.0,1.0
334,desintegrarse,0.0,1.0,0.0,0.0
335,desleal,0.0,0.0,0.0,1.0
336,flagrante,1.0,0.0,0.0,0.0
337,deslustre,0.0,0.0,0.0,1.0
338,desmembramiento,0.0,1.0,0.0,1.0
339,desmoralizado,0.0,1.0,0.0,1.0
340,desmoronándose,0.0,0.0,0.0,1.0
341,lúgrube,0.0,0.0,0.0,1.0
342,ilegalidad,1.0,1.0,0.0,0.0
343,desorden,1.0,1.0,0.0,0.0
344,fastidiar,1.0,0.0,0.0,0.0
345,despiadado,0.0,1.0,0.0,0.0
346,despido,1.0,1.0,0.0,1.0
347,desplazado,1.0,1.0,0.0,1.0
348,despojado,1.0,1.0,0.0,1.0
349,desposeído,1.0,1.0,0.0,1.0
350,despótico,1.0,1.0,0.0,0.0
351,despotismo,1.0,1.0,0.0,1.0
352,despreciable,1.0,0.0,0.0,0.0
353,despreciar,1.0,0.0,0.0,0.0
354,desprecio,1.0,1.0,0.0,0.0
355,destello,1.0,1.0,0.0,0.0
356,desterrar,1.0,1.0,0.0,1.0
357,destierro,1.0,0.0,0.0,1.0
358,destrozado,1.0,1.0,0.0,1.0
359,destrucción,1.0,0.0,0.0,0.0
360,destructivo,1.0,1.0,0.0,0.0
361,destructor,1.0,1.0,0.0,0.0
362,destruido,1.0,1.0,0.0,1.0
363,destruyendo,1.0,1.0,0.0,1.0
364,detenido,1.0,1.0,0.0,1.0
365,deteriorarse,0.0,1.0,0.0,1.0
366,deterioro,1.0,1.0,0.0,1.0
367,detonación,1.0,0.0,0.0,0.0
368,detonar,0.0,1.0,0.0,0.0
369,devastación,1.0,1.0,0.0,1.0
370,devastador,1.0,1.0,0.0,1.0
371,devastar,1.0,1.0,0.0,1.0
372,diamante,0.0,0.0,1.0,0.0
373,dictador,0.0,1.0,0.0,0.0
374,dictadura,1.0,1.0,0.0,1.0
375,dictatorial,1.0,0.0,0.0,0.0
376,difamatorio,1.0,0.0,0.0,0.0
377,dificultad,1.0,1.0,0.0,1.0
378,difunto,0.0,0.0,0.0,1.0
379,dinero,1.0,0.0,1.0,0.0
380,dios,0.0,1.0,1.0,0.0
381,discapacidad,0.0,0.0,0.0,1.0
382,discorde,0.0,1.0,0.0,1.0
383,discordia,1.0,0.0,0.0,0.0
384,discriminación,1.0,1.0,0.0,1.0
385,discriminar,1.0,0.0,0.0,1.0
386,discutir,1.0,0.0,0.0,0.0
387,disensión,1.0,0.0,0.0,0.0
388,disentería,0.0,0.0,0.0,1.0
389,disfrutando,0.0,0.0,1.0,0.0
390,disfrutar,0.0,0.0,1.0,0.0
391,disgusto,1.0,0.0,0.0,1.0
392,disparar,1.0,1.0,0.0,0.0
393,disparidad,1.0,0.0,0.0,1.0
394,disputa,1.0,0.0,0.0,0.0
395,disturbio,1.0,1.0,0.0,1.0
396,diversión,0.0,0.0,1.0,0.0
397,divertidísimo,0.0,0.0,1.0,0.0
398,divertido,0.0,0.0,1.0,0.0
399,divorcio,1.0,1.0,0.0,1.0
400,doloroso,1.0,1.0,0.0,1.0
401,dominación,1.0,1.0,0.0,1.0
402,dominar,1.0,1.0,0.0,0.0
403,drogado,0.0,0.0,0.0,1.0
404,dulce,0.0,0.0,1.0,0.0
405,dulces,0.0,0.0,1.0,0.0
406,dureza,1.0,1.0,0.0,0.0
407,ejecución,1.0,1.0,0.0,1.0
408,elegancia,0.0,0.0,1.0,0.0
409,elegante,0.0,0.0,1.0,0.0
410,eliminación,1.0,1.0,0.0,1.0
411,élite,0.0,0.0,1.0,0.0
412,embellecer,0.0,0.0,1.0,0.0
413,embellecimiento,0.0,0.0,1.0,0.0
414,embolia,0.0,1.0,0.0,1.0
415,emboscada,1.0,1.0,0.0,0.0
416,emergencia,0.0,1.0,0.0,1.0
417,empeorando,0.0,0.0,0.0,1.0
418,empequeñecer,1.0,1.0,0.0,1.0
419,empujón,1.0,0.0,0.0,0.0
420,encaja,1.0,0.0,0.0,0.0
421,encantar,0.0,0.0,1.0,0.0
422,encarcelado,1.0,1.0,0.0,1.0
423,encarcelamiento,1.0,1.0,0.0,1.0
424,enclenque,0.0,1.0,0.0,1.0
425,encogerse,0.0,1.0,0.0,1.0
426,endémico,0.0,1.0,0.0,1.0
427,endocarditis,0.0,1.0,0.0,1.0
428,enemistad,1.0,1.0,0.0,1.0
429,enfado,1.0,0.0,0.0,0.0
430,enfermizo,0.0,0.0,0.0,1.0
431,enfermos,0.0,0.0,0.0,1.0
432,engañado,1.0,0.0,0.0,0.0
433,engañoso,1.0,0.0,0.0,1.0
434,enjuiciar,1.0,1.0,0.0,1.0
435,enloquecer,1.0,1.0,0.0,0.0
436,enorme,1.0,0.0,0.0,0.0
437,enredado,1.0,1.0,0.0,1.0
438,ensueño,0.0,0.0,1.0,0.0
439,enterrado,0.0,1.0,0.0,1.0
440,enterrador,0.0,0.0,0.0,1.0
441,entretenimiento,0.0,0.0,1.0,0.0
442,entusiasmo,0.0,0.0,1.0,0.0
443,envenenado,1.0,1.0,0.0,1.0
444,epidemia,1.0,1.0,0.0,1.0
445,epitafio,0.0,0.0,0.0,1.0
446,erótico,0.0,0.0,1.0,0.0
447,erradicación,1.0,1.0,0.0,0.0
448,erradicar,1.0,0.0,0.0,0.0
449,erupción,1.0,1.0,0.0,0.0
450,escalar,1.0,0.0,0.0,0.0
451,escándalo,1.0,1.0,0.0,1.0
452,escandaloso,1.0,0.0,0.0,0.0
453,escaramuza,1.0,0.0,0.0,0.0
454,esclavizado,1.0,1.0,0.0,1.0
455,esclavo,1.0,1.0,0.0,1.0
456,escorpión,1.0,1.0,0.0,0.0
457,embate,1.0,0.0,0.0,0.0
458,esfuerzo,1.0,0.0,0.0,0.0
459,elogio,0.0,0.0,1.0,0.0
460,aterrado,0.0,1.0,0.0,0.0
461,espantoso,1.0,1.0,0.0,1.0
462,especial,0.0,0.0,1.0,0.0
463,espeluznante,0.0,1.0,0.0,0.0
464,esperanzado,0.0,0.0,1.0,0.0
465,espléndido,0.0,0.0,1.0,0.0
466,esplendor,0.0,0.0,1.0,0.0
467,esposa,0.0,0.0,1.0,0.0
468,esquizofrenia,1.0,1.0,0.0,1.0
469,estallar,1.0,0.0,0.0,0.0
470,esterilidad,0.0,0.0,0.0,1.0
471,estragos,1.0,1.0,0.0,0.0
472,estrangular,1.0,1.0,0.0,1.0
473,estremecimiento,0.0,1.0,0.0,0.0
474,estridente,1.0,1.0,0.0,0.0
475,esvástica,1.0,1.0,0.0,0.0
476,evacuar,0.0,1.0,0.0,0.0
477,evasión,0.0,1.0,0.0,1.0
478,exacerbación,1.0,1.0,0.0,0.0
479,exaltación,0.0,0.0,1.0,0.0
480,exaltar,0.0,0.0,1.0,0.0
481,excelencia,0.0,0.0,1.0,0.0
482,excelente,0.0,0.0,1.0,0.0
483,excitación,1.0,1.0,1.0,0.0
484,excitar,1.0,1.0,1.0,0.0
485,excluido,0.0,0.0,0.0,1.0
486,exclusión,0.0,1.0,0.0,1.0
487,exilio,1.0,1.0,0.0,1.0
488,éxito,0.0,0.0,1.0,0.0
489,exitoso,0.0,0.0,1.0,0.0
490,exorcismo,0.0,1.0,0.0,1.0
491,expirar,0.0,0.0,0.0,1.0
492,expletivo,1.0,0.0,0.0,0.0
493,explosivo,1.0,1.0,0.0,0.0
494,explotar,1.0,1.0,0.0,1.0
495,exprimir,1.0,0.0,0.0,0.0
496,éxtasis,0.0,0.0,1.0,0.0
497,extático,0.0,0.0,1.0,0.0
498,exterminar,0.0,1.0,0.0,1.0
499,exterminio,1.0,1.0,0.0,0.0
500,extinguido,0.0,0.0,0.0,1.0
501,exuberancia,0.0,0.0,1.0,0.0
502,fallecido,0.0,0.0,0.0,1.0
503,fallecimiento,0.0,1.0,0.0,1.0
504,falta,1.0,1.0,0.0,0.0
505,fantasmal,0.0,1.0,0.0,0.0
506,fatal,1.0,1.0,0.0,1.0
507,fatalidad,0.0,1.0,0.0,1.0
508,favorable,0.0,0.0,1.0,0.0
509,favorito,0.0,0.0,1.0,0.0
510,fealdad,0.0,1.0,0.0,1.0
511,felicidad,0.0,0.0,1.0,0.0
512,feliz,0.0,0.0,1.0,0.0
513,felizmente,0.0,0.0,1.0,0.0
514,felón,0.0,1.0,0.0,0.0
515,féretro,0.0,1.0,0.0,1.0
516,ferocidad,1.0,0.0,0.0,0.0
517,festival,0.0,0.0,1.0,0.0
518,festivo,0.0,0.0,1.0,0.0
519,feudo,1.0,0.0,0.0,0.0
520,fiestas,0.0,0.0,1.0,0.0
521,fortuna,0.0,0.0,1.0,0.0
522,forzado,0.0,1.0,0.0,0.0
523,frustración,1.0,0.0,0.0,0.0
524,frustrado,1.0,0.0,0.0,0.0
525,frustrar,1.0,0.0,0.0,1.0
526,fuego,0.0,1.0,0.0,0.0
527,fuelle,1.0,0.0,0.0,0.0
528,fugitivo,1.0,1.0,0.0,1.0
529,funeral,0.0,0.0,0.0,1.0
530,furia,1.0,1.0,0.0,1.0
531,furioso,1.0,0.0,0.0,0.0
532,furor,1.0,0.0,0.0,0.0
533,ganador,0.0,0.0,1.0,0.0
534,ganancias,0.0,0.0,1.0,0.0
535,ganar,0.0,0.0,1.0,0.0
536,garras,1.0,1.0,0.0,0.0
537,generoso,0.0,0.0,1.0,0.0
