,Términos,enfado.2,miedo.2,alegría.2,tristeza.2
0,abalancha,0.0,0.0,0.0,0.0
1,abominable,"0,53","0,797",0.0,0.0
2,aborrecer,"0,798",0.0,0.0,0.0
3,aborrecible,"0,729",0.0,0.0,0.0
4,abundancia,0.0,0.0,"0,83",0.0
5,accidente,0.0,"0,696",0.0,0.0
6,aclamación,0.0,0.0,"0,799",0.0
7,acogedor,0.0,0.0,"0,83",0.0
8,admirable,0.0,0.0,"0,764",0.0
9,admiración,0.0,0.0,"0,765",0.0
10,adorable,0.0,0.0,"0,898",0.0
11,veneración,0.0,0.0,"0,496",0.0
12,adoración,0.0,0.0,"0,765",0.0
13,adorar,0.0,0.0,"0,764",0.0
14,afán,0.0,0.0,"0,764",0.0
15,afligirse,0.0,0.0,0.0,"0,796"
16,afortunadísimo,0.0,0.0,"0,932",0.0
17,afecto,0.0,0.0,"0,899",0.0
18,agarrar,"0,231",0.0,0.0,0.0
19,agradecido,0.0,0.0,"0,764",0.0
20,agradar,0.0,0.0,"0,798",0.0
21,agradecer,0.0,0.0,"0,763",0.0
22,agravante,"0,463",0.0,0.0,0.0
23,agravar,"0,43",0.0,0.0,0.0
24,ahogo,0.0,0.0,0.0,"0,463"
25,aguantar,0.0,0.0,0.0,"0,364"
26,alarma,0.0,"0,596",0.0,0.0
27,alarmante,0.0,"0,595",0.0,0.0
28,alegría,0.0,0.0,1,0.0
29,alegrar,0.0,0.0,"0,966",0.0
30,alentar,0.0,0.0,"0,73",0.0
31,aliviada,0.0,0.0,"0,763",0.0
32,aliviadas,0.0,0.0,"3,763",0.0
33,aliviado,0.0,0.0,"1,763",0.0
34,aliviados,0.0,0.0,"2,763",0.0
35,amante,0.0,0.0,"0,731",0.0
36,amargura,0.0,0.0,0.0,"0,528"
37,ambición,0.0,0.0,"0,429",0.0
38,ambicioso,0.0,0.0,"0,363",0.0
39,amantes,0.0,0.0,"1,731",0.0
40,amar,0.0,0.0,"0,899",0.0
41,ambiciosa,0.0,0.0,"1,363",0.0
42,amenazar,0.0,"0,865",0.0,0.0
43,ambiciosas,0.0,0.0,"3,363",0.0
44,ambiciosos,0.0,0.0,"2,363",0.0
45,amiga,0.0,0.0,"0,898",0.0
46,amistad,0.0,0.0,"0,966",0.0
47,amor,0.0,0.0,"0,966",0.0
48,amigas,0.0,0.0,"0,898",0.0
49,amigo,0.0,0.0,"0,898",0.0
50,amigos,0.0,0.0,"0,898",0.0
51,amorosa,0.0,0.0,"0,898",0.0
52,amorosas,0.0,0.0,"0,898",0.0
53,angustioso,0.0,0.0,0.0,"0,763"
54,amoroso,0.0,0.0,"0,898",0.0
55,amorosos,0.0,0.0,"0,898",0.0
56,anhelo,0.0,0.0,"0,297",0.0
57,animosidad,"0,132",0.0,0.0,0.0
58,aniquilar,0.0,0.0,0.0,"0,463"
59,ansioso,0.0,"0,264",0.0,0.0
60,antagonismo,"0,364",0.0,0.0,0.0
61,antipático,"0,695",0.0,0.0,0.0
62,apasionado,0.0,0.0,"0,696",0.0
63,aplastar,0.0,0.0,0.0,"0,232"
64,apreciar,0.0,0.0,"0,629",0.0
65,araña,0.0,"0,463",0.0,0.0
66,armonía,0.0,0.0,"0,864",0.0
67,asar,"0,165",0.0,0.0,0.0
68,asesinar,0.0,"0,73",0.0,0.0
69,asombro,0.0,0.0,"0,396",0.0
70,atacar,"0,832",0.0,0.0,0.0
71,ataque,"0,899",0.0,0.0,0.0
72,aterrador,0.0,1,0.0,0.0
73,aterrorizar,0.0,"0,966",0.0,0.0
74,atroz,"0,697","0,696",0.0,0.0
75,atropello,"0,397",0.0,0.0,0.0
76,avergonzado,0.0,"0,297",0.0,0.0
77,belicoso,"0,53",0.0,0.0,0.0
78,beligerante,"0,396",0.0,0.0,0.0
79,berrinche,"0,629",0.0,0.0,0.0
80,bienestar,0.0,0.0,"0,932",0.0
81,bilis,"0,532",0.0,0.0,0.0
82,bravo,"0,563",0.0,0.0,0.0
83,bondad,0.0,0.0,"0,696",0.0
84,brujo,0.0,"0,495",0.0,0.0
85,bueno,0.0,0.0,"0,898",0.0
86,bullicioso,0.0,0.0,"0,664",0.0
87,caliente,0.0,0.0,"0,264",0.0
88,calamidad,"0,462",0.0,0.0,0.0
89,calor,0.0,0.0,"0,999",0.0
90,caritativo,0.0,0.0,"0,63",0.0
91,castigo,0.0,0.0,0.0,"0,595"
92,cautivar,0.0,0.0,"0,562",0.0
93,celebrar,0.0,0.0,"0,933",0.0
94,celo,0.0,0.0,"0,132",0.0
95,celos,"0,63",0.0,0.0,0.0
96,frunciendo,"0,496",0.0,0.0,0.0
97,cólera,"0,53",0.0,0.0,0.0
98,comodidad,0.0,0.0,"0,662",0.0
99,condolencia,0.0,0.0,"0,132","0,796"
100,confortable,0.0,0.0,"0,663",0.0
101,consolador,0.0,0.0,"0,331",0.0
102,convulsión,"0,198","0,33",0.0,0.0
103,contento,0.0,0.0,"0,966",0.0
104,corazón,0.0,0.0,"0,33",0.0
105,crisis,0.0,0.0,0.0,"0,696"
106,cumplir,0.0,0.0,"0,496",0.0
107,culpable,0.0,0.0,0.0,"0,565"
108,culto,0.0,0.0,"0,264",0.0
109,decaer,0.0,0.0,0.0,"0,729"
110,decepción,"0,33",0.0,0.0,"0,898"
111,decepcionar,"0,297",0.0,0.0,"0,898"
112,delicado,"0,066",0.0,"0,165",0.0
113,demente,"0,364",0.0,0.0,0.0
114,deplorable,0.0,0.0,0.0,"0,563"
115,deplorar,0.0,0.0,0.0,"0,53"
116,depresivo,0.0,0.0,0.0,"0,898"
117,deprimente,0.0,0.0,0.0,"0,898"
118,deprimir,0.0,0.0,0.0,"0,864"
119,tristemente,0.0,0.0,0.0,"0,966"
120,desafortunado,0.0,0.0,0.0,"0,898"
121,desanimar,0.0,0.0,0.0,"0,729"
122,desalojar,0.0,0.0,0.0,"0,496"
123,desanimado,0.0,0.0,0.0,"0,729"
124,desdichado,0.0,0.0,0.0,"0,83"
125,desesperado,0.0,"0,33",0.0,0.0
126,desgarrador,0.0,0.0,0.0,"0,564"
127,desorden,"0,496",0.0,0.0,0.0
128,fastidiar,"0,796",0.0,0.0,0.0
129,despiadado,0.0,"0,663",0.0,0.0
130,despreciar,"0,696",0.0,0.0,0.0
131,desprecio,"0,696",0.0,0.0,0.0
132,devastar,0.0,0.0,0.0,"0,764"
133,diablo,0.0,"0,664",0.0,0.0
134,dichoso,0.0,0.0,"0,832",0.0
135,discordia,"0,562",0.0,0.0,0.0
136,disfrutar,0.0,0.0,"0,83",0.0
137,disgusto,"0,762",0.0,0.0,0.0
138,disputa,"0,763",0.0,0.0,0.0
139,divertido,0.0,0.0,1,0.0
140,doloroso,0.0,0.0,0.0,"0,866"
141,dulce,0.0,0.0,"0,562",0.0
142,dulzura,0.0,0.0,"0,663",0.0
143,elegante,0.0,0.0,"0,231",0.0
144,encolerizar,"0,83",0.0,0.0,0.0
145,enemistad,"0,831",0.0,0.0,0.0
146,enfado,"0,898",0.0,0.0,0.0
147,enfurecer,"0,932",0.0,0.0,0.0
148,entusiasmo,0.0,0.0,"0,864",0.0
149,erótico,0.0,0.0,"0,529",0.0
150,escándalo,"0,198",0.0,0.0,0.0
151,espanto,0.0,"0,899",0.0,0.0
152,elogio,0.0,0.0,"0,463",0.0
153,aterrado,0.0,"0,966",0.0,0.0
154,espectacular,0.0,0.0,"0,563",0.0
155,esperanza,0.0,0.0,"0,495",0.0
156,espantoso,0.0,"0,899",0.0,0.0
157,espeluznante,0.0,"0,932",0.0,0.0
158,esperanzado,0.0,0.0,"0,496",0.0
159,espléndido,0.0,0.0,"0,696",0.0
160,euforia,0.0,0.0,"0,663",0.0
161,exacerbación,"0,729",0.0,0.0,0.0
162,exaltar,0.0,0.0,"0,563",0.0
163,excelente,0.0,0.0,"0,763",0.0
164,excitar,"0,265",0.0,"0,764",0.0
165,éxito,0.0,0.0,"0,864",0.0
166,favorable,0.0,0.0,"0,596",0.0
167,fealdad,0.0,"0,396",0.0,0.0
168,felicidad,0.0,0.0,1,0.0
169,feliz,0.0,0.0,"0,966",0.0
170,felizmente,0.0,0.0,"0,966",0.0
171,festivo,0.0,0.0,"0,729",0.0
172,fiel,0.0,0.0,"0,463",0.0
173,fiestas,0.0,0.0,"0,83",0.0
174,fobia,0.0,"0,932",0.0,0.0
175,frustración,0.0,0.0,0.0,"0,396"
176,funeral,0.0,0.0,0.0,"0,763"
177,furia,"0,866",0.0,0.0,0.0
178,furioso,"0,833",0.0,0.0,0.0
179,furor,"0,566",0.0,"0,496",0.0
180,ganar,0.0,0.0,"0,764",0.0
181,generoso,0.0,0.0,"0,628",0.0
182,genial,0.0,0.0,"0,864",0.0
183,gloria,0.0,0.0,"0,797",0.0
184,glorificar,0.0,0.0,"0,529",0.0
185,gracia,0.0,0.0,"0,597",0.0
186,gratificante,0.0,0.0,"0,697",0.0
187,grave,0.0,0.0,0.0,"0,463"
188,gratis,0.0,0.0,"0,563",0.0
189,gusto,0.0,0.0,"0,629",0.0
190,halagüeño,0.0,0.0,"0,396",0.0
191,hilaridad,0.0,0.0,"0,664",0.0
192,histeria,0.0,"0,562",0.0,0.0
193,histérico,0.0,"0,497",0.0,0.0
194,horrendo,0.0,"0,83",0.0,0.0
195,horripilante,0.0,"0,831",0.0,0.0
196,horror,0.0,"0,966",0.0,0.0
197,horrorizado,0.0,"0,898",0.0,0.0
198,horroroso,0.0,"0,865",0.0,0.0
199,hostilidad,"0,564",0.0,0.0,0.0
200,horrorosamente,0.0,"0,831","0,429",0.0
201,huérfano,0.0,0.0,0.0,0
202,humillar,0.0,0.0,0.0,"0,496"
203,huido,0.0,0.0,0.0,"0,764"
204,humor,"0,265",0.0,"0,73",0.0
205,impotente,0.0,"0,396",0.0,"0,464"
206,inaguantable,"0,563",0.0,0.0,0.0
207,improperio,"0,429",0.0,0.0,0.0
208,incomodidad,"0,463",0.0,0.0,0.0
209,indigente,0.0,0.0,0.0,"0,398"
210,indignación,"0,563",0.0,0.0,0.0
211,infeliz,0.0,0.0,0.0,"0,966"
212,inmoral,0.0,0.0,0.0,"0,464"
213,inspirar,0.0,0.0,"0,53",0.0
214,intimidación,0.0,"0,629",0.0,0.0
215,intimidar,0.0,"0,595",0.0,0.0
216,intratable,"0,696",0.0,0.0,0.0
217,irritabilidad,"0,864",0.0,0.0,0.0
218,irritable,"0,898",0.0,0.0,0.0
219,irritante,"0,83",0.0,0.0,0.0
220,irritar,"0,796",0.0,0.0,0.0
221,jovial,0.0,0.0,"0,73",0.0
222,jubiloso,0.0,0.0,"0,731",0.0
223,júbilo,0.0,0.0,"0,83",0.0
224,lamentablemente,0.0,0.0,0.0,"0,597"
225,lamentar,0.0,0.0,0.0,"0,729"
226,lamento,0.0,0.0,0.0,"0,729"
227,lágrima,0.0,0.0,0.0,"0,763"
228,lástima,0.0,0.0,0.0,"0,73"
229,llanto,0.0,0.0,0.0,"0,865"
230,loable,0.0,0.0,"0,33",0.0
231,lograr,0.0,0.0,"0,663",0.0
232,luto,0.0,0.0,0.0,"0,932"
233,magia,0.0,0.0,"0,561",0.0
234,maldad,0.0,"0,596",0.0,0.0
235,maldición,"0,664",0.0,0.0,0.0
236,malicia,"0,595",0.0,0.0,0.0
237,malhumorado,"0,797",0.0,0.0,0.0
238,malignidad,"0,462",0.0,0.0,0.0
239,malvado,"0,595",0.0,0.0,0.0
240,melancolía,0.0,0.0,0.0,"0,865"
241,miserable,0.0,0.0,0.0,"0,628"
242,miseria,0.0,0.0,0.0,"0,596"
243,molestar,"0,696",0.0,0.0,"0,132"
244,mortuorio,0.0,"0,764",0.0,0.0
245,muerte,0.0,"0,865",0.0,"0,865"
246,nostálgico,0.0,0.0,0.0,"0,831"
247,odio,"0,932",0.0,0.0,0.0
248,opresión,"0,396",0.0,0.0,"0,264"
249,opresivo,0.0,0.0,0.0,"0,363"
250,oprimir,0.0,0.0,0.0,"0,198"
251,orgullo,0.0,0.0,"0,596",0.0
252,orgulloso,0.0,0.0,"0,531",0.0
253,oscuridad,0.0,0.0,0.0,"0,099"
254,oscuro,0.0,0.0,0.0,"0,066"
255,pánico,0.0,"0,898",0.0,0.0
256,pasión,0.0,0.0,"0,763",0.0
257,paz,0.0,0.0,"0,63",0.0
258,pavor,0.0,"0,898",0.0,0.0
259,penitencia,0.0,0.0,0.0,"0,496"
260,pernicioso,"0,396",0.0,0.0,0.0
261,perseguir,"0,264",0.0,0.0,"0,231"
262,placer,0.0,0.0,"0,864",0.0
263,pobre,0.0,0.0,0.0,"0,462"
264,pobreza,0.0,0.0,0.0,"0,396"
265,poseído,0.0,"0,63",0.0,0.0
266,preocupación,0.0,"0,529",0.0,0.0
267,provocación,"0,561",0.0,0.0,0.0
268,rabia,"0,898",0.0,0.0,0.0
269,rabioso,"0,797",0.0,0.0,0.0
270,radiante,0.0,0.0,"0,53",0.0
271,quejar,"0,561",0.0,0.0,0.0
272,realizar,0.0,0.0,"0,231",0.0
273,regalo,0.0,0.0,"0,764",0.0
274,regocijo,0.0,0.0,"0,764",0.0
275,recompensa,0.0,0.0,"0,629",0.0
276,repugnancia,"0,765",0.0,0.0,0.0
277,resentido,"0,731",0.0,0.0,0.0
278,respeto,0.0,0.0,"0,497",0.0
279,risa,0.0,0.0,"0,932",0.0
280,romántico,0.0,0.0,"0,63",0.0
281,riña,"0,764",0.0,0.0,0.0
282,saborear,0.0,0.0,"0,43",0.0
283,sanguinario,0.0,"0,629",0.0,0.0
284,sangriendo,0.0,"0,496",0.0,0.0
285,satisfacción,0.0,0.0,"0,864",0.0
286,satisfecho,0.0,0.0,"0,864",0.0
287,satisfactorio,0.0,0.0,"0,831",0.0
288,ternura,0.0,0.0,"0,529",0.0
289,sereno,0.0,0.0,"0,198",0.0
290,sonriente,0.0,0.0,"0,966",0.0
291,solo,0.0,0.0,0.0,"0,729"
292,sufrimiento,0.0,0.0,0.0,"0,898"
293,suspenso,0.0,"0,628",0.0,0.0
294,temeroso,0.0,"0,898",0.0,0.0
295,temerosamente,0.0,"0,864",0.0,0.0
296,temible,0.0,"0,932",0.0,0.0
297,tenebroso,0.0,0.0,0.0,"0,132"
298,tenso,"0,264","0,496",0.0,0.0
299,terriblemente,0.0,"0,796",0.0,0.0
300,terror,0.0,"0,966",0.0,0.0
301,terrorífico,0.0,"0,898",0.0,0.0
302,tormento,"0,365",0.0,0.0,"0,53"
303,tragedia,0.0,"0,561",0.0,0.0
304,estruendoso,0.0,"0,564",0.0,0.0
305,triunfante,0.0,0.0,"0,796",0.0
306,triunfo,0.0,0.0,"0,864",0.0
307,vehemente,0.0,0.0,"0,331",0.0
308,vergonzoso,0.0,"0,396",0.0,"0,231"
309,victoria,0.0,0.0,"0,763",0.0
310,victorioso,0.0,0.0,"0,797",0.0
311,violento,"0,932",0.0,0.0,0.0
312,vivaz,0.0,0.0,"0,563",0.0
